seccional,lugar_de_la_seccional
Montevideo 14,Punta Gorda
Montevideo 15,Pocitos
Montevideo 16,Buceo
Montevideo 17,Colón
Montevideo 18,Flor de Maroñas
Montevideo 19,Sayago
Montevideo 20,Paso de la Arena
Montevideo 21,Manga
Montevideo 22,Casavalle
Montevideo 23,Piedras Blancas
Montevideo 24,Conciliación
Montevideo 25,Peñarol
Montevideo 98,Aeropuerto de Carrasco
Montevideo 99,Dirección Nacional de Bomberos
Paysandú 1,Paysandú
Paysandú 2,Guichón
Paysandú 3,Quebracho
Paysandú 4,Chacras de Paysandú
Paysandú 5,Lorenzo Geyres
Paysandú 6,Termas de Guaviyú
Paysandú 7,Piedras Coloradas
Paysandú 8,San Félix
Paysandú 9,Porvenir
Paysandú 10,Tambores
Paysandú 11,Merinos
Paysandú 12,Gallinal
Río Negro 1,Fray Bentos
Río Negro 2,Young
Río Negro 3,Cabinitas
Río Negro 4,Nuevo Berlín
Río Negro 5,San Javier
Río Negro 6,Young
Río Negro 7,Paso de la Cruz
Río Negro 8,Paso de los Mellizos
Río Negro 9,Sarandí de Navarro
Río Negro 10,Pueblo Grecco
Río Negro 11,El Águila
Río Negro 12,Sánchez
Rivera 1,Rivera
Rivera 2,Estación Ataques
Rivera 3,Tranqueras
Rivera 4,Paso del Ataque
Rivera 5,Minas de Corrales
Rivera 6,Moirones
Rivera 7,Paso La Puente
Rivera 8,Villa Vichadero
Rivera 9,Pueblo Nuevo
Rivera 10,Rivera Chico
Rivera 13,Lapuente
Rocha 1,Rocha
Rocha 2,La Coronilla
Rocha 3,Lascano
Rocha 4,Castillos
Rocha 5,Chuy
Rocha 6,Cebollatí
Rocha 7,El Canelón
Rocha 8,19 de Abril
Rocha 9,18 de Julio
Rocha 11,La Paloma
Rocha 12,Las Chacras
Salto 1,Salto
Salto 2,Constitución
Salto 3,Belén
Salto 4,Colonia Lavalleja
Salto 5,San Antonio
Salto 6,Pueblo Quintana
Salto 7,Laureles
Salto 8,Pueblo Fernández
Salto 9,Pueblo Cayetano
Salto 10,Pueblo Celeste
Salto 11,Vera
Salto 12,Termas del Daymán
Salto 13,Termas del Arapey
Salto 14,Cerro Chato
Salto 15,Pueblo Migliaro
San José 1,San José de Mayo
San José 2,Ciudad del Plata
San José 3,Libertad
San José 4,Rodríguez
San José 5,Ecilda Paullier
San José 6,Mal Abrigo
San José 7,Rafael Perazza
San José 8,Capurro
San José 9,González
San José 10,Puntas de Valdez
San José 11,Kiyú
Soriano 1,Mercedes
Soriano 2,Mercedes
Soriano 3,Mercedes
Soriano 4,Villa Soriano
Soriano 5,Dolores
Soriano 6,Palmitas
Soriano 7,Pueblo Agraciada
Soriano 8,Santa Catalina
Soriano 9,Pueblo Agraciada
Soriano 10,Villa José Enrique Rodó
Tacuarembó 1,Tacuarembó
Tacuarembó 2,Paso de los Toros
Tacuarembó 3,San Gregorio de Polanco
Tacuarembó 4,Achar
Tacuarembó 5,Curtina
Tacuarembó 6,Tambores
Tacuarembó 7,Peralta
Tacuarembó 8,La Pedrera
Tacuarembó 9,Las Toscas
Tacuarembó 10,Paso Bonilla
Tacuarembó 11,Pueblo de Arriba
Tacuarembó 12,Ansina
Tacuarembó 13,Balneario Iporá
Treinta y Tres 1,Treinta y Tres
Treinta y Tres 2,Pueblo General Enrique Martínez
Treinta y Tres 3,Pueblo Rincón
Treinta y Tres 4,Cuchilla de Dionisio
Treinta y Tres 5,Villa María Isabel
Treinta y Tres 6,Cerro Chato
Treinta y Tres 7,Villa Sara
Treinta y Tres 8,Santa Clara de Olimar
Treinta y Tres 9,Vergara
